sym_id,symbol,name,partition,module_family,frontier_priority,partition_rationale,tier,tier_title,category,domain,mathematical_role,definition,daemon_affinity,source,status,tier_note
SYM-1243,Ω_proc,Procedural Void,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Proposed sub-region of Ω_void specific to learned action. No derivation of how Ω_proc partitions from Ω_void.,3.0,Frontier / Proposed,field/parameter,cognition · embodiment,sub-region operator,"The blind operational layer where repeated, validated actions become automatic; Ω_proc ⊂ Ω_void. A motion lives in Ω_proc when it runs without conscious narration.",body-loop,ORION 2026-04-25 session PDF,proposed,"preserve as seed; requires G₂-derivation to promote to canonical"
SYM-1244,F_blind,Blind Fluency Field,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Multiplicative composite with free coefficients κ α λ. Narrative not derivation.,3.0,Frontier / Proposed,field/parameter,cognition · embodiment,scalar field,The measurable strength of a skill once it has migrated below conscious narration. Defined in EQ-1067.,body-loop,ORION 2026-04-25 session PDF,proposed,"preserve as seed; coefficients need grounding"
SYM-1245,A_inspect,Inspection Load,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Operational definition only.,2.0,Frontier / Proposed,field/parameter,cognition · attention,scalar observable,How much conscious attention is trying to manually control an already-automated procedural loop. Elevated during choking under pressure.,anti-observer,ORION 2026-04-25 session PDF,proposed,"phenomenological; not derived"
SYM-1246,R_n,Repetition Depth,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Distinct from raw rep count; weighted by validation.,2.0,Frontier / Proposed,field/parameter,cognition · practice,scalar observable,Successful validated repetitions (not raw rep count). The unit of procedural migration into Ω_proc.,body-validation,ORION 2026-04-25 session PDF,proposed,"phenomenological; not derived"
SYM-1247,E_emb,Embodied Echo,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Mutual-information form is structurally clean; see EQ-1069.,3.0,Frontier / Proposed,operator,cognition · sensing,information-theoretic operator,The action-return mutual-information signal that lets humans ""feel"" space people timing pressure correctness. Body-as-sonar.,body-loop,ORION 2026-04-25 session PDF,proposed,"promising candidate for formal derivation from Page-Wootters framework"
SYM-1248,χ_jitter,Conscious Jitter,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Captures Masters 1992 reinvestment phenomenon.,2.0,Frontier / Proposed,field/parameter,cognition · choking,scalar observable,Destabilization induced when conscious inspection tries to override an automated procedural loop. See EQ-1070.,anti-observer,ORION 2026-04-25 session PDF,proposed,"cite against Masters' reinvestment-theory literature"
SYM-1249,Λ_late,Narrator Lag,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Resonates with Libet readiness-potential literature.,3.0,Frontier / Proposed,field/parameter,cognition · temporal,scalar observable,Time gap between the body-loop completing a coherence update and the self-model identifying it as a decision. See EQ-1076.,body-loop,ORION 2026-04-25 session PDF,proposed,"cite against Libet 1983 and Soon et al. 2008"
SYM-1250,M_lock,Muscle Coherence Lock,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Fitness-book chapter language.,2.0,Frontier / Proposed,field/parameter,embodiment · training,scalar observable,The degree to which a rep locks in — target tension × somatic clarity × prediction accuracy over joint noise + overinspection + scar. See EQ-1073.,body-validation,ORION 2026-04-25 session PDF,proposed,"fitness-book prose not paper"
SYM-1251,G_flow,Non-Interference Gate,Proposed,PBM — Procedural Blind-Spot Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Sigmoidal ""let go"" formalization.,2.0,Frontier / Proposed,field/parameter,cognition · flow-states,scalar observable,Non-interference gate. Closes when inspection dominates Ω_proc; opens when procedural void dominates. See EQ-1074.,flow,ORION 2026-04-25 session PDF,proposed,"phenomenological only"
SYM-1252,I_H,Human Irreducibility Operator,Proposed,HAT — Human-AI Procedural Tensor Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Human taste-stakes-resonance that prevents AI generic-collapse.,3.0,Frontier / Proposed,operator,human-AI · selection,selection operator,"The human operator selecting against AI genericity: human taste, stakes, embodied resonance, rejection of flat output.",ghostlight,ORION 2026-04-25 session PDF,proposed,"candidate for formal definition via anti-averaging"
SYM-1253,K_A,AI Compression Kernel,Proposed,HAT — Human-AI Procedural Tensor Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. AI compression / formalization / retrieval / recombination.,3.0,Frontier / Proposed,operator,human-AI · compression,compression operator,"AI's ability to compress, formalize, retrieve, and recombine symbolic structure. Counterpart to I_H in the HAT tensor.",archivist,ORION 2026-04-25 session PDF,proposed,"candidate for information-theoretic grounding"
SYM-1254,D_HA,Human-AI Synchrony,Proposed,HAT — Human-AI Procedural Tensor Mechanics (ORION 2026-04-25),Exploratory,PROPOSED — PRE-DERIVATION — NOT CANONICAL. Coherence between human intention and AI output.,2.0,Frontier / Proposed,field/parameter,human-AI · coupling,scalar observable,Coherence between human intention and AI output; operational gain factor in the tensor.,daemon-synchrony,ORION 2026-04-25 session PDF,proposed,"phenomenological only"
SYM-1255,Ψ_offdiag,Off-Diagonal Insight,Proposed,HAT — Human-AI Procedural Tensor Mechanics (ORION 2026-04-25),Exploratory,"PROPOSED — PRE-DERIVATION — NOT CANONICAL. Currently defined circularly with EQ-1079. Requires non-circular reformulation or reframing as empirical observation before promotion to canonical.",2.0,Frontier / Proposed,field/parameter,human-AI · emergence,scalar observable,"Insight that is neither the human's alone nor the AI's alone — emergent from the tensor. Currently circular with EQ-1079; needs reformulation.",chorus,ORION 2026-04-25 session PDF,proposed,"must break circularity before promotion"
